bag,relative_sec,level,message
25july.bag,26.158499857,30,"Rejected frontier (-1.11, 20.26): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,26.206439047,30,"Rejected frontier (-1.26, 20.21): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,26.282706718,30,"Rejected frontier (0.59, 18.36): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=32, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=269)."
25july.bag,26.383434804,30,"Rejected frontier (0.44, 18.36): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=67, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=234)."
25july.bag,26.436960141,30,"Rejected frontier (-1.06, 19.71): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,26.478725631,30,"Rejected frontier (-0.26, 18.86): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,26.532118522,30,"Rejected frontier (-1.56, 20.06): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,26.585029745,30,"Rejected frontier (-0.56, 18.71): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,26.640716217,30,"Rejected frontier (-1.31, 19.36): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,26.864185518,30,"Rejected frontier (-1.26, 18.76): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,27.029002262,30,"Rejected frontier (-1.46, 18.91): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,27.075153443,30,"Rejected frontier (-0.66, 18.01): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,27.119814121,30,"Rejected frontier (-1.11, 18.31): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,27.16845482,30,"Rejected frontier (-2.41, 19.41): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,27.21453332,30,"Rejected frontier (-1.21, 18.16): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=1, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=300)."
25july.bag,27.273924549,30,"Rejected frontier (0.04, 17.01): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=20, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=281)."
25july.bag,27.312297729,30,"Rejected frontier (-0.36, 17.26): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,27.357523416,30,"Rejected frontier (-0.51, 17.31): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,27.480116419,30,"Rejected frontier (-1.06, 17.66): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=1, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=300)."
25july.bag,27.551171088,30,"Rejected frontier (-0.11, 16.71): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=46, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=255)."
25july.bag,27.60154671,30,"Rejected frontier (-2.51, 18.86): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
