bag,relative_sec,level,node,message
25july.bag,80.512422705,30,controller_server,[follow_path] [ActionServer] Aborting handle.
25july.bag,80.531548523,20,local_costmap.local_costmap,Received request to clear entirely the local_costmap
25july.bag,80.535710984,20,controller_server,"Received a goal, begin computing control effort."
25july.bag,81.820721854,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,81.820767111,30,planner_server,"Planning algorithm GridBased failed to generate a valid path to (0.94, 20.70)"
25july.bag,81.820788813,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,81.831343455,20,global_costmap.global_costmap,Received request to clear entirely the global_costmap
25july.bag,83.586357225,20,controller_server,Reached the goal!
25july.bag,83.621459424,20,bt_navigator,Goal succeeded
25july.bag,84.890770581,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,84.890838101,30,planner_server,"Planning algorithm  failed to generate a valid path to (-8.54, 40.39)"
25july.bag,84.890868549,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,84.921518618,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,84.921546892,30,planner_server,"Planning algorithm  failed to generate a valid path to (12.36, 19.19)"
25july.bag,84.921578082,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,85.07261176,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,85.072681654,30,planner_server,"Planning algorithm  failed to generate a valid path to (-9.04, 40.29)"
25july.bag,85.07272083,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,85.09339393,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,85.093441782,30,planner_server,"Planning algorithm  failed to generate a valid path to (12.46, 18.79)"
25july.bag,85.093478693,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,85.110394213,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,85.110444229,30,planner_server,"Planning algorithm  failed to generate a valid path to (-7.84, 38.69)"
25july.bag,85.110483084,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,85.127751803,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,85.127798443,30,planner_server,"Planning algorithm  failed to generate a valid path to (12.26, 18.14)"
25july.bag,85.127834102,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,85.361057654,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,85.36113378,30,planner_server,"Planning algorithm  failed to generate a valid path to (11.11, 18.09)"
25july.bag,85.361171353,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,85.381799166,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,85.381849212,30,planner_server,"Planning algorithm  failed to generate a valid path to (12.06, 17.04)"
25july.bag,85.381873379,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,85.633900644,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,85.63394039,30,planner_server,"Planning algorithm  failed to generate a valid path to (10.61, 18.14)"
25july.bag,85.633959237,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,85.657786336,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,85.657848025,30,planner_server,"Planning algorithm  failed to generate a valid path to (-7.84, 34.79)"
25july.bag,85.657889054,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,85.675924248,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,85.675973493,30,planner_server,"Planning algorithm  failed to generate a valid path to (11.71, 15.94)"
25july.bag,85.676012629,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,85.693528423,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,85.693644857,30,planner_server,"Planning algorithm  failed to generate a valid path to (9.56, 17.24)"
25july.bag,85.693679885,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,85.883525817,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,85.883597154,30,planner_server,"Planning algorithm  failed to generate a valid path to (2.51, 22.34)"
25july.bag,85.883634285,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,85.905098026,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,85.905166127,30,planner_server,"Planning algorithm  failed to generate a valid path to (3.31, 21.44)"
25july.bag,85.905203268,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,85.92295182,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,85.923073374,30,planner_server,"Planning algorithm  failed to generate a valid path to (10.96, 15.29)"
25july.bag,85.923109644,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,86.120706461,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,86.12086204,30,planner_server,"Planning algorithm  failed to generate a valid path to (11.06, 14.39)"
25july.bag,86.12090344,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,86.144220968,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,86.144272006,30,planner_server,"Planning algorithm  failed to generate a valid path to (5.11, 19.04)"
25july.bag,86.144312965,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,86.161550544,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,86.161614797,30,planner_server,"Planning algorithm  failed to generate a valid path to (-12.24, 36.14)"
25july.bag,86.161643643,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,86.322047733,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,86.322091698,30,planner_server,"Planning algorithm  failed to generate a valid path to (-13.54, 37.44)"
25july.bag,86.322135963,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,86.366278212,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,86.366358146,30,planner_server,"Planning algorithm  failed to generate a valid path to (4.16, 19.29)"
25july.bag,86.366392772,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,86.37436905,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,86.374415901,30,planner_server,"Planning algorithm  failed to generate a valid path to (-11.39, 34.99)"
25july.bag,86.37445212,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,86.395023223,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,86.395095432,30,planner_server,"Planning algorithm  failed to generate a valid path to (6.26, 17.49)"
25july.bag,86.395155398,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,86.405608241,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,86.4058467,30,planner_server,"Planning algorithm  failed to generate a valid path to (10.76, 12.39)"
25july.bag,86.405903589,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,86.434577033,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,86.434599025,30,planner_server,"Planning algorithm  failed to generate a valid path to (5.66, 16.19)"
