stamp_s,elapsed_s,global_x_m,global_y_m,interpolated_direct_utm_x_m,interpolated_direct_utm_y_m,global_to_direct_utm_m,global_to_centreline_m
1787657851.8920684,3.066075325012207,32.11864142270346,26.30074480079556,446.7047560773857,379.2078814296309,544.4493489279134,398.985373988081
1787657851.9210706,3.0950775146484375,32.11995637367439,26.298861856585887,446.7044842411247,379.20723355003435,544.4489411858543,398.9847772515508
1787657851.9620705,3.136077404022217,32.121849655716154,26.29614041664018,446.7040999509463,379.20631765395484,544.4483772200351,398.9839215823012
1787657851.9910705,3.1650774478912354,32.11785755227298,26.295908765085294,446.7038281347975,379.2056698222926,544.4509403548763,398.98775478598714
1787657852.0210736,3.195080518722534,32.117481293746636,26.294422533935364,446.7035469173206,379.204999584022,544.4515416481613,398.9886137620307
1787657852.0620737,3.2360806465148926,32.11695141516103,26.292347563773426,446.7031626249075,379.20408368261644,544.4524038110847,398.9898173042411
1787657852.0920737,3.266080617904663,32.11655220384796,26.2907971071947,446.70288143648156,379.2034135135843,544.4530642813879,398.9907196946257
1787657852.1190765,3.293083429336548,32.11618457934568,26.28937829294264,446.70262834030547,379.2028102980756,544.4536801602145,398.9915476381078
1787657852.1610763,3.335083246231079,32.11585537903344,26.297788311922364,446.70223467784996,379.2018720646261,544.4475716076228,398.9889989926096
1787657852.1920764,3.3660833835601807,53.450099359652626,43.76885163227575,446.7019441149122,379.20117955289794,516.8770260106968,372.98691357958984
1787657852.222077,3.3960838317871094,53.44978682551429,43.77025242934254,446.70166292201685,379.2005093732137,516.8757058779706,372.9867314317596
1787657852.2620769,3.4360837936401367,53.44936310775629,43.7721600055705,446.7012880041156,379.1996158145041,516.8739251937033,372.9864816141182
1787657852.291077,3.4650838375091553,53.45170189703773,43.77241991592714,446.7010161879668,379.19896798284185,516.8713498912202,372.98419370717653
1787657852.3200798,3.494086742401123,53.45225416497781,43.773476155787186,446.70074434500174,379.19832008726723,516.8696169783306,372.9833153365779
1787657852.3580797,3.5320866107940674,53.452991264043526,43.77488550474567,446.7003881738894,379.19747120862354,516.8673197026923,372.98214312835603
1787657852.3920798,3.566086769104004,53.45366357729604,43.77617118434343,446.7000694918856,379.19671167945955,516.8652384817323,372.98107388016024
1787657852.422078,3.5960848331451416,53.454266877998066,43.77732494527511,446.6997883213371,379.1960415530356,516.8633819357304,372.9801143707615
1787657852.4620779,3.636084794998169,53.450641961152186,43.77277326288206,446.69941340343587,379.195147994326,516.8682285760527,372.9850704611316
1787657852.491078,3.6650848388671875,53.4500499615206,43.772287218103244,446.69914158728704,379.19450016266376,516.8683671894775,372.9857924104634
1787657852.5220768,3.6960837841033936,53.4494042248311,43.77175657376503,446.6988510355227,379.19380767756576,516.8685323983225,372.9865800558801
1787657852.563077,3.737083911895752,53.4485297206665,43.77103708174291,446.69846674310963,379.19289177616025,516.8687779067317,372.98764703366663
1787657852.5910769,3.7650837898254395,53.452068030816655,43.768786853031415,446.69820430147263,379.19226628719395,516.8669405635452,372.9850841093574
1787657852.6220791,3.796086072921753,53.45281835158619,43.767612677815436,446.6979137184227,379.19157372753153,516.866461164152,372.9847775094762
1787657852.6600792,3.8340861797332764,53.45375537856162,43.76614230351337,446.69755754507565,379.1907248435618,516.8658805865814,372.9843959840183
1787657852.6920793,3.86608624458313,53.454559430250555,43.76487754063956,446.6972576098608,379.1900099944637,516.8653975197465,372.9840696388931
1787657852.7180793,3.8920862674713135,53.4552227569631,43.76383204062961,446.69701391277806,379.18942918023725,516.8650089993479,372.9838011228798
1787657852.760078,3.934084892272949,53.45344902756171,43.76662735955273,446.696620261496,379.18849097341797,516.8636360901392,372.9845192471492
1787657852.792078,3.9660849571228027,53.45344572175288,43.766627338826225,446.69632032628107,379.1877761243199,516.8629465146568,372.9845223632243
1787657852.8220809,3.9960877895355225,53.453440931694075,43.76662795729667,446.6960391110389,379.1871058913753,516.862300850398,372.9845266579606
1787657852.8620808,4.03608775138855,53.45343194128723,43.766629712216904,446.6956854683762,379.18501558044284,516.8606809745828,372.984534516783
1787657852.8920808,4.06608772277832,53.45021427260912,43.76594865868088,446.69542201175835,379.1833479804924,516.8622884072838,372.98779211872005
1787657852.9240825,4.0980894565582275,53.44907594070697,43.76571197857875,446.6951409758721,379.18156910914036,516.861939864284,372.9889431302589
1787657852.9590826,4.133089542388916,53.44780455229025,43.76544877813685,446.69483360877103,379.1796235692384,516.8615815791925,372.99022829140995
1787657852.9920826,4.1660895347595215,53.44658055878308,43.765196434817014,446.694543806282,379.1777892079676,516.8612657078431,372.99146518889853
